label,n_items,tier_tau0.6,matched_node,cosine,node_scene_freq,node_degree,in_mit,in_nyu
sheet set,19,near,Sheet,0.8089,2,8,1,0
bag clips,19,near,Bag,0.6843,18,69,1,1
shower caddy,18,near,Shower,0.6588,55,66,1,1
grater,18,far,Pumpkin,0.4025,1,5,1,0
shower rod,18,near,Shower curtain rod,0.8688,1,5,0,1
soap dish,18,exact,Soap dish,1.0000,28,57,1,1
spoon,18,exact,Spoon,1.0000,24,83,1,0
tote,18,far,Bag,0.4057,18,69,1,1
glassware,18,exact,Glassware,1.0000,21,72,1,1
wine glasses,18,exact,Wine glasses,1.0000,1,9,0,1
splatter screen,18,near,Screen,0.6357,13,35,1,1
stool,18,exact,Stool,1.0000,65,156,1,1
dish drainer,18,near,Dish,0.7125,54,104,1,1
pillow protector,18,near,Pillow,0.7679,218,202,1,1
hamper,17,near,Hammock,0.7851,1,7,1,0
soap pump,17,near,Soap,0.7430,48,94,1,1
utensil holder,17,exact,Utensil holder,1.0000,13,46,1,1
stand,17,exact,Stand,1.0000,3,16,1,0
saucepan,17,near,Saucer,0.7267,4,19,1,0
roaster oven,17,near,Oven,0.7933,207,207,1,1
recliner,16,exact,Recliner,1.0000,4,14,1,1
mattress cover,16,near,Bed cover,0.8470,1,8,1,0
cutlery,16,exact,Cutlery,1.0000,15,61,1,1
pillow cover,16,near,Pillow,0.8302,218,202,1,1
cups,16,exact,Cups,1.0000,16,86,1,1
hooks,16,near,Wall hooks,0.7824,1,5,1,0
griddle,16,far,Pan,0.4983,84,144,1,1
shower curtain rings,16,near,Shower curtain,0.7827,63,68,1,1
containers,16,exact,Containers,1.0000,3,12,1,1
water bottle,16,exact,Water bottle,1.0000,14,65,1,1
scraper,16,far,Strainer,0.4788,1,9,1,0
poster,15,exact,Poster,1.0000,12,40,1,0
coffee table,15,exact,Coffee table,1.0000,577,306,1,1
stopper,15,far,Shaker,0.4450,1,9,1,0
bento box,15,near,Box,0.6545,30,95,1,1
percolator,14,far,Coffee pot,0.5723,4,27,1,0
sifter,14,far,Shaker,0.5058,1,9,1,0
measuring cup set,14,near,Cup,0.6169,103,191,1,1
canister,14,exact,Canister,1.0000,9,43,1,0
magnet,14,far,Light,0.4359,39,72,1,1
laundry bag,14,near,Laundry basket,0.7859,6,35,1,1
ice tray,14,near,Tray,0.7820,24,91,1,1
headboard,14,exact,Headboard,1.0000,4,16,1,0
coffee brewer,14,near,Coffee maker,0.8450,80,124,1,1
wine glass,14,exact,Wine glass,1.0000,7,40,1,0
mixing bowls,14,near,Bowls,0.7060,19,80,1,1
bath rug set,14,near,Rugs,0.7439,1,4,0,1
divider,13,far,Calculator,0.4515,1,3,1,0
pot holder,13,near,Pot,0.7247,82,147,1,1
bottles,13,exact,Bottles,1.0000,26,91,1,1
oven mitts,13,near,Ovens,0.6633,1,10,1,0
shot glass,13,near,Glass,0.7816,110,181,1,1
storage container,13,exact,Storage container,1.0000,1,6,1,0
bath rug,13,near,Rug,0.8174,435,336,1,1
slicer,13,near,Platter,0.6747,5,39,1,0
pie pan,13,near,Pan,0.8097,84,144,1,1
espresso machine,13,near,Coffee machine,0.7218,2,14,1,0
baking pan,13,near,Pan,0.7690,84,144,1,1
filters,12,far,Canisters,0.4112,2,8,1,1
sofa,12,exact,Sofa,1.0000,596,297,1,1
pillow cases,12,near,Pillows,0.8168,73,111,1,1
shower curtain hooks,12,near,Shower curtain,0.7964,63,68,1,1
sweeper,12,near,Broom,0.6988,2,15,1,0
towel holder,12,exact,Towel holder,1.0000,15,29,1,1
air bed,12,near,Beds,0.7123,3,15,1,1
food storage set,12,near,Food container,0.6891,1,9,1,0
table runner,12,exact,Table runner,1.0000,4,23,1,0
hook,12,far,Wall hooks,0.5991,1,5,1,0
gasket,12,far,Gas burner,0.5412,1,8,1,0
pressure cooker,12,near,Cooker,0.7483,1,8,1,0
cushion,12,exact,Cushion,1.0000,99,137,1,1
jars,12,exact,Jars,1.0000,1,6,1,0
storage bag,12,near,Bag,0.7468,18,69,1,1
shot glasses,11,near,Glasses,0.8125,42,127,1,1
speaker stands,11,near,Speaker,0.7153,9,31,1,1
hanger,11,exact,Hanger,1.0000,2,11,1,0
liner,11,near,Carriage,0.6201,1,5,1,0
towel rack,11,exact,Towel rack,1.0000,16,40,1,1
storage,11,near,Storage unit,0.8033,2,12,1,0
sink mat,11,near,Sinks,0.6639,5,32,1,1
bar stool,11,exact,Bar stool,1.0000,34,79,1,1
vacuum sealer,11,near,Vacuum cleaner,0.7066,1,6,1,0
parchment paper,11,near,Paper,0.6726,16,59,1,1
cutter,11,near,Knife,0.6480,33,97,1,0
pillow case,11,near,Pillow,0.7872,218,202,1,1
shaker,11,exact,Shaker,1.0000,1,9,1,0
salt box,10,near,Salt,0.7362,2,21,1,0
fireplace,10,exact,Fireplace,1.0000,247,216,1,1
food jar,10,near,Jars,0.7973,1,6,1,0
sharpener,10,far,Knife,0.5750,33,97,1,0
coffee filters,10,near,Coffee cups,0.6698,1,9,1,0
bookshelf,10,exact,Bookshelf,1.0000,167,233,1,1
kitchen cart,10,near,Cart,0.8418,3,21,1,1
laundry sorter,10,near,Laundry basket,0.7250,6,35,1,1
tea set,10,exact,Tea set,1.0000,8,32,1,1
frame,10,exact,Frame,1.0000,9,28,1,1
fryer,10,near,Frying pan,0.6562,1,17,1,0
faucet,10,exact,Faucet,1.0000,119,160,1,1
wok,10,far,Well,0.3736,1,6,1,0
wine opener,10,near,Wine glass,0.6619,7,40,1,0
tea infuser,10,near,Teapot,0.6311,20,81,1,1
bedskirt,10,exact,Bedskirt,1.0000,1,3,0,1
table set,10,near,Table,0.8031,840,522,1,1
saute pan,10,near,Pan,0.7527,84,144,1,1
coat rack,10,exact,Coat rack,1.0000,3,11,1,0
popcorn popper,10,far,Corn,0.5133,1,16,1,0
humidifier,10,far,Dryer,0.5171,2,13,1,0
pie plate,10,near,Plate,0.7906,156,215,1,1
bread pan,10,near,Bread,0.8170,12,70,1,0
mixer,10,exact,Mixer,1.0000,5,30,1,0
lunch bag,10,near,Bag,0.7199,18,69,1,1
comforter set,10,near,Comforter,0.8312,1,7,1,0
corkscrew,9,far,Wine bottle,0.4701,11,61,1,1
food containers,9,near,Food container,0.9346,1,9,1,0
utensil,9,exact,Utensil,1.0000,1,11,0,1
nightstand,9,exact,Nightstand,1.0000,324,162,1,1
bath sheet,9,near,Bath mat,0.7271,24,37,1,1
soap saver,9,near,Soap,0.6965,48,94,1,1
warmer,9,far,Heater,0.5193,2,6,1,1
sheet pan,9,near,Pan,0.8151,84,144,1,1
comforter,9,exact,Comforter,1.0000,1,7,1,0
shelving unit,9,exact,Shelving unit,1.0000,18,65,1,1
storage containers,9,exact,Storage containers,1.0000,2,8,0,1
coffee percolator,9,near,Coffee maker,0.7406,80,124,1,1
bed risers,9,near,Beds,0.6926,3,15,1,1
dresser,9,exact,Dresser,1.0000,229,158,1,1
drying rack,9,near,Towel rack,0.6555,16,40,1,1
stools,9,exact,Stools,1.0000,12,49,1,1
juicer,9,near,Juice jug,0.6943,1,8,1,0
crock,9,near,Crockery,0.8774,1,9,1,0
step stool,9,exact,Step stool,1.0000,3,15,1,1
carousel,9,near,Slide,0.6112,7,30,1,0
cookbook holder,8,near,Cookbook,0.7912,8,38,1,1
bunk bed,8,exact,Bunk bed,1.0000,11,31,1,1
meat grinder,8,near,Coffee grinder,0.7288,1,8,1,0
shelves,8,exact,Shelves,1.0000,23,88,1,1
measuring set,8,far,Scale,0.4179,1,13,1,0
steam cleaner,8,near,Cleaner,0.6974,1,13,1,0
utensils,8,exact,Utensils,1.0000,26,78,1,1
wastebasket,8,exact,Wastebasket,1.0000,6,23,1,1
waste basket,8,exact,Waste basket,1.0000,1,6,1,0
flatware set,8,near,Kitchenware,0.6522,20,47,0,1
futon,8,far,Cot,0.5513,1,5,1,0
food slicer,8,near,Platter,0.6380,5,39,1,0
food storage container,8,near,Food container,0.9071,1,9,1,0
egg cup,8,near,Eggs,0.7335,1,8,1,0
vanity set,8,near,Vanity,0.8217,12,28,1,1
turntable,8,far,Table,0.5318,840,522,1,1
mop,8,near,Mop bucket,0.7534,1,9,1,0
opener,8,near,Door,0.6366,117,181,1,0
mixing bowl set,8,near,Bowls,0.6103,19,80,1,1
food storage containers,8,near,Storage containers,0.8644,2,8,0,1
food mill,8,far,Corn,0.5612,1,16,1,0
food chopper,8,far,Food items,0.5720,1,2,1,0
casserole dish,8,near,Dish,0.7092,54,104,1,1
casserole,8,far,Oven,0.5639,207,207,1,1
colander,8,far,Sink,0.5262,801,403,1,1
luggage rack,8,exact,Luggage rack,1.0000,1,5,1,0
pastry bag,8,near,Pastry,0.7936,1,10,1,0
oven liner,8,near,Oven,0.6610,207,207,1,1
crock pot,8,near,Crockery,0.8136,1,9,1,0
storage chest,8,near,Storage container,0.7282,1,6,1,0
radiator,8,exact,Radiator,1.0000,36,90,1,1
pump,8,far,Drain,0.5137,4,6,1,1
sugar bowl,8,exact,Sugar bowl,1.0000,1,6,1,0
tongs,8,near,Spoons,0.6485,1,8,1,0
pillowcase,7,near,Pillow,0.7875,218,202,1,1
pastry mat,7,near,Pastry,0.7913,1,10,1,0
room divider,7,far,Flooring,0.4959,1,10,1,0
refrigerator,7,exact,Refrigerator,1.0000,349,269,1,1
jug,7,exact,Jug,1.0000,5,30,1,0
knife bar,7,near,Knife rack,0.7523,1,9,1,0
laundry basket,7,exact,Laundry basket,1.0000,6,35,1,1
dish cloth,7,near,Dishcloth,0.8636,1,8,1,0
kitchen scale,7,near,Scale,0.7188,1,13,1,0
bottle caps,7,near,Bottles,0.7690,26,91,1,1
dehumidifier,7,far,Air conditioner,0.5088,32,56,1,1
dining set,7,near,Dining table,0.7874,109,151,1,1
shower liner,7,near,Shower curtain,0.7736,63,68,1,1
food container,7,exact,Food container,1.0000,1,9,1,0
airbed,7,far,Daybed,0.5952,1,5,1,0
air purifier,7,near,Air conditioner,0.6704,32,56,1,1
cookie pan,7,near,Cookies,0.7375,1,9,1,0
shelving,7,exact,Shelving,1.0000,3,13,1,1
shelving system,7,near,Shelving unit,0.9050,18,65,1,1
sink protector,7,near,Sink,0.6726,801,403,1,1
cap,7,far,Hats,0.5934,1,7,1,0
shower curtain rod,7,exact,Shower curtain rod,1.0000,1,5,0,1
cooling rack,7,near,Rack,0.7192,1,8,1,0
cookie cutter,7,near,Cookies,0.6855,1,9,1,0
pillow encasement,7,near,Pillow,0.7543,218,202,1,1
cookie jar,7,near,Cookies,0.7219,1,9,1,0
carpet washer,7,near,Carpet,0.7407,33,64,1,1
shakers,7,near,Shaker,0.9072,1,9,1,0
brewer,7,near,Coffee maker,0.6310,80,124,1,1
screen,7,exact,Screen,1.0000,13,35,1,1
muffin cups,7,near,Cups,0.7075,16,86,1,1
sponge holder,7,near,Sponge,0.7575,7,30,1,1
canisters,7,exact,Canisters,1.0000,2,8,1,1
canister set,7,exact,Canister set,1.0000,1,8,1,0
bar stools,7,exact,Bar stools,1.0000,11,53,1,1
funnel,7,far,Jug,0.5406,5,30,1,0
towel warmer,7,near,Towel,0.7785,233,230,1,1
frother,7,far,Freezer,0.5151,1,11,1,0
wash bag,7,near,Bag,0.6760,18,69,1,1
baking cup,7,near,Cup,0.6480,103,191,1,1
egg poacher,7,near,Eggs,0.6318,1,8,1,0
bath set,7,near,Bath,0.7426,1,6,0,1
stockpot,6,near,Stocking,0.6478,2,14,1,0
storage bin,6,exact,Storage bin,1.0000,8,47,1,0
soap,6,exact,Soap,1.0000,48,94,1,1
bottle stopper,6,near,Bottle,0.6836,82,164,1,1
dish cloths,6,near,Dishcloth,0.8435,1,8,1,0
tart pan,6,near,Pan,0.7381,84,144,1,1
wine cooler,6,exact,Wine cooler,1.0000,1,9,1,0
aerator,6,far,Decanter,0.4299,3,9,1,1
cloth,6,exact,Cloth,1.0000,4,33,1,1
robot,6,far,Toy,0.5162,25,88,1,1
hot pot,6,near,Pot,0.7978,82,147,1,1
cutlery tray,6,near,Cutlery holder,0.7612,2,13,1,0
cruet,6,near,Croissant,0.6346,1,9,1,0
multi cooker,6,near,Cooker,0.7940,1,8,1,0
bed sheets,6,near,Bedding,0.7203,109,106,1,1
quilt,6,exact,Quilt,1.0000,26,53,1,1
garment bag,6,near,Bag,0.7115,18,69,1,1
chairs,6,exact,Chairs,1.0000,246,271,1,1
hangers,6,near,Hanger,0.9379,2,11,1,0
tissue box,6,exact,Tissue box,1.0000,17,56,1,1
tool,6,near,Tool set,0.6872,1,9,1,0
donut pan,6,near,Pan,0.7056,84,144,1,1
fondue pot,6,near,Decorative pot,0.6489,4,22,1,0
cookbook stand,6,near,Cookbook,0.7641,8,38,1,1
canvas print,6,near,Drawing paper,0.6099,1,7,1,0
shopping bag,6,near,Bag,0.7960,18,69,1,1
coffee urn,6,near,Coffee pot,0.6689,4,27,1,0
pans,6,exact,Pans,1.0000,4,29,1,0
pan set,6,near,Pans,0.8361,4,29,1,0
coffee pot,6,exact,Coffee pot,1.0000,4,27,1,0
fork,6,exact,Fork,1.0000,29,90,1,0
vacuum cleaner bags,6,near,Vacuum cleaner,0.7538,1,6,1,0
wash cloth,6,near,Washcloth,0.8776,3,17,1,0
egg cooker,6,near,Cooker,0.8239,1,8,1,0
glove,6,exact,Glove,1.0000,1,18,1,0
bake cups,5,near,Cups,0.7072,16,86,1,1
bake pan,5,near,Pan,0.7738,84,144,1,1
baker,5,far,Bread,0.5262,12,70,1,0
plate cover,5,near,Plate,0.7804,156,215,1,1
end table,5,exact,End table,1.0000,4,15,1,0
shoe rack,5,exact,Shoe rack,1.0000,1,6,1,0
filter papers,5,near,Papers,0.6004,1,4,0,1
flask,5,far,Water bottle,0.4453,14,65,1,1
can opener,5,far,Cans,0.5355,1,3,1,0
neck pillow,5,near,Pillow,0.8250,218,202,1,1
sheet,5,exact,Sheet,1.0000,2,8,1,0
squeeze bottle,5,near,Bottle,0.6921,82,164,1,1
coffee grinder,5,exact,Coffee grinder,1.0000,1,8,1,0
shopping cart,5,exact,Shopping cart,1.0000,1,8,1,0
mylar bags,5,near,Bag,0.6582,18,69,1,1
contact paper,5,near,Paper,0.7268,16,59,1,1
separator,5,far,Carriage,0.4682,1,5,1,0
shaker set,5,near,Shaker,0.7398,1,9,1,0
speaker stand,5,near,Music stand,0.7266,1,11,1,0
soap holder,5,near,Soap dispenser,0.7667,43,75,1,1
cupcake box,5,near,Box,0.6836,30,95,1,1
mattress encasement,5,near,Mattress,0.6780,4,13,1,1
book,5,exact,Book,1.0000,48,102,1,1
storage bins,5,exact,Storage bins,1.0000,2,10,1,0
dining table,5,exact,Dining table,1.0000,109,151,1,1
table and chair set,5,near,Chairs,0.6901,246,271,1,1
knife block,5,exact,Knife block,1.0000,6,26,1,0
dough blender,5,far,Blender,0.5942,24,61,1,1
ice cube trays,5,near,Tray,0.6383,24,91,1,1
ice ball maker,5,near,Ice bucket,0.6599,2,10,1,0
bottle stoppers,5,near,Bottles,0.7231,26,91,1,1
spoons,5,exact,Spoons,1.0000,1,8,1,0
tension rod,5,near,Rope,0.6100,2,6,1,0
bean bag chair,5,exact,Bean bag chair,1.0000,1,6,1,0
tissue holder,5,exact,Tissue holder,1.0000,1,7,1,0
tissue box cover,5,near,Tissue box,0.8403,17,56,1,1
drainer,5,near,Drain,0.8738,4,6,1,1
stove,5,exact,Stove,1.0000,413,277,1,1
dish pan,5,near,Pan,0.8158,84,144,1,1
grinder,5,near,Coffee grinder,0.8878,1,8,1,0
garlic press,5,far,Spoon,0.4833,24,83,1,0
placemat,5,near,Placemats,0.9479,2,10,1,0
pot holders,5,near,Pots,0.7291,19,72,1,1
bag holder,5,near,Bag,0.7620,18,69,1,1
pizza tray,5,near,Tray,0.8015,24,91,1,1
pie dish,5,near,Dish,0.8063,54,104,1,1
ice pop maker,5,far,Freezer,0.5730,1,11,1,0
drawer unit,5,near,Drawer,0.8730,56,107,1,1
dishrack,5,exact,Dishrack,1.0000,3,20,1,0
pillow covers,4,near,Pillows,0.8074,73,111,1,1
conditioner,4,exact,Conditioner,1.0000,7,21,1,1
cooler,4,far,Wine cooler,0.5861,1,9,1,0
scissors,4,far,Cutting board,0.5747,65,135,1,1
bread maker,4,near,Bread,0.8318,12,70,1,0
spoon rest,4,near,Spoon,0.8450,24,83,1,0
corer,4,far,Saucer,0.4863,4,19,1,0
futon frame,4,near,Frame,0.6811,9,28,1,1
canner,4,far,Candelabra,0.5378,2,12,1,0
towel bar,4,exact,Towel bar,1.0000,2,8,1,0
furniture,4,exact,Furniture,1.0000,2,7,0,1
fry basket,4,near,Basket,0.7604,146,253,1,1
vanity,4,exact,Vanity,1.0000,12,28,1,1
toothbrush stand,4,near,Toothbrush holder,0.8477,5,22,1,1
wall art,4,exact,Wall art,1.0000,84,151,1,1
laundry cart,4,near,Laundry basket,0.8364,6,35,1,1
curtain rod,4,near,Shower curtain rod,0.8974,1,5,0,1
ice ball mold,4,far,Ice bucket,0.5646,2,10,1,0
ice ball tray,4,near,Tray,0.6997,24,91,1,1
ladle,4,far,Utensil,0.4470,1,11,0,1
straws,4,near,Plastic straws,0.8392,1,6,1,0
table and chairs set,4,near,Dining chairs,0.7408,2,13,1,0
blade,4,near,Knife,0.8024,33,97,1,0
tea maker,4,near,Tea pot,0.7937,1,9,1,0
knives,4,exact,Knives,1.0000,5,36,1,0
tapestry,4,exact,Tapestry,1.0000,3,13,1,1
kooler,4,far,Shaker,0.5219,1,9,1,0
tea bag squeezer,4,far,Bag,0.5807,18,69,1,1
dish mat,4,near,Dish,0.7442,54,104,1,1
hose,4,far,Faucet,0.5520,119,160,1,1
ice pop molds,4,far,Ice bucket,0.4598,2,10,1,0
duvet cover set,4,near,Duvet,0.7300,6,25,1,0
recipe box,4,far,Box,0.5754,30,95,1,1
clock,4,exact,Clock,1.0000,66,149,1,1
recipe book,4,near,Cookbook,0.7623,8,38,1,1
air mattress,4,near,Mattress,0.7437,4,13,1,1
yogurt maker,4,far,Coffee maker,0.5110,80,124,1,1
clip,4,far,Photograph,0.4472,10,46,1,0
coasters,4,near,Coaster,0.9225,1,10,1,0
protector,4,far,Block,0.4875,1,4,1,0
drain stopper,4,near,Drain,0.6964,4,6,1,1
pillow sham,4,near,Pillow,0.7832,218,202,1,1
hand blender,4,near,Blender,0.6748,24,61,1,1
tissue box holder,4,near,Tissue holder,0.8817,1,7,1,0
teapot warmer,4,near,Teapot,0.8197,20,81,1,1
storage unit,4,exact,Storage unit,1.0000,2,12,1,0
hot plate,4,near,Plate,0.7977,156,215,1,1
magazine rack,4,near,Rack,0.7809,1,8,1,0
bowl cover,4,near,Bowl,0.7369,203,268,1,1
deep fryer,4,near,Frying pan,0.6169,1,17,1,0
dinnerware,4,near,Kitchenware,0.8590,20,47,0,1
lids,4,near,Plastic lid,0.7336,1,5,0,1
k cup,4,near,Cup,0.7651,103,191,1,1
straw,4,near,Plastic straws,0.7466,1,6,1,0
crockpot,4,near,Crockery,0.8329,1,9,1,0
medicine cabinet,4,near,Cabinet,0.7262,745,415,1,1
