amazon_label,n_items,assigned_node,cosine
speaker stands,11,Speaker,0.7153
hanger,11,Hanger,1.0000
liner,11,Carriage,0.6201
towel rack,11,Towel rack,1.0000
storage,11,Storage unit,0.8033
sink mat,11,Sinks,0.6639
bar stool,11,Bar stool,1.0000
vacuum sealer,11,Vacuum cleaner,0.7066
parchment paper,11,Paper,0.6726
cutter,11,Knife,0.6480
pillow case,11,Pillow,0.7872
shaker,11,Shaker,1.0000
salt box,10,Salt,0.7362
fireplace,10,Fireplace,1.0000
food jar,10,Jars,0.7973
sharpener,10,Knife,0.5750
coffee filters,10,Coffee cups,0.6698
bookshelf,10,Bookshelf,1.0000
kitchen cart,10,Cart,0.8418
laundry sorter,10,Laundry basket,0.7250
tea set,10,Tea set,1.0000
frame,10,Frame,1.0000
fryer,10,Frying pan,0.6562
faucet,10,Faucet,1.0000
wok,10,Well,0.3736
wine opener,10,Wine glass,0.6619
tea infuser,10,Teapot,0.6311
bedskirt,10,Bedskirt,1.0000
table set,10,Table,0.8031
saute pan,10,Pan,0.7527
coat rack,10,Coat rack,1.0000
popcorn popper,10,Corn,0.5133
humidifier,10,Dryer,0.5171
pie plate,10,Plate,0.7906
bread pan,10,Bread,0.8170
mixer,10,Mixer,1.0000
lunch bag,10,Bag,0.7199
comforter set,10,Comforter,0.8312
corkscrew,9,Wine bottle,0.4701
food containers,9,Food container,0.9346
utensil,9,Utensil,1.0000
nightstand,9,Nightstand,1.0000
bath sheet,9,Bath mat,0.7271
soap saver,9,Soap,0.6965
warmer,9,Heater,0.5193
sheet pan,9,Pan,0.8151
comforter,9,Comforter,1.0000
shelving unit,9,Shelving unit,1.0000
storage containers,9,Storage containers,1.0000
coffee percolator,9,Coffee maker,0.7406
bed risers,9,Beds,0.6926
dresser,9,Dresser,1.0000
drying rack,9,Towel rack,0.6555
stools,9,Stools,1.0000
juicer,9,Juice jug,0.6943
crock,9,Crockery,0.8774
step stool,9,Step stool,1.0000
carousel,9,Slide,0.6112
cookbook holder,8,Cookbook,0.7912
bunk bed,8,Bunk bed,1.0000
meat grinder,8,Coffee grinder,0.7288
shelves,8,Shelves,1.0000
measuring set,8,Scale,0.4179
steam cleaner,8,Cleaner,0.6974
utensils,8,Utensils,1.0000
wastebasket,8,Wastebasket,1.0000
waste basket,8,Waste basket,1.0000
flatware set,8,Kitchenware,0.6522
futon,8,Cot,0.5513
food slicer,8,Platter,0.6380
food storage container,8,Food container,0.9071
egg cup,8,Eggs,0.7335
vanity set,8,Vanity,0.8217
turntable,8,Table,0.5318
mop,8,Mop bucket,0.7534
opener,8,Door,0.6366
mixing bowl set,8,Bowls,0.6103
food storage containers,8,Storage containers,0.8644
food mill,8,Corn,0.5612
food chopper,8,Food items,0.5720
casserole dish,8,Dish,0.7092
casserole,8,Oven,0.5639
colander,8,Sink,0.5262
luggage rack,8,Luggage rack,1.0000
pastry bag,8,Pastry,0.7936
oven liner,8,Oven,0.6610
crock pot,8,Crockery,0.8136
storage chest,8,Storage container,0.7282
radiator,8,Radiator,1.0000
pump,8,Drain,0.5137
sugar bowl,8,Sugar bowl,1.0000
tongs,8,Spoons,0.6485
pillowcase,7,Pillow,0.7875
pastry mat,7,Pastry,0.7913
room divider,7,Flooring,0.4959
refrigerator,7,Refrigerator,1.0000
jug,7,Jug,1.0000
knife bar,7,Knife rack,0.7523
laundry basket,7,Laundry basket,1.0000
dish cloth,7,Dishcloth,0.8636
kitchen scale,7,Scale,0.7188
bottle caps,7,Bottles,0.7690
dehumidifier,7,Air conditioner,0.5088
dining set,7,Dining table,0.7874
shower liner,7,Shower curtain,0.7736
food container,7,Food container,1.0000
airbed,7,Daybed,0.5952
air purifier,7,Air conditioner,0.6704
cookie pan,7,Cookies,0.7375
shelving,7,Shelving,1.0000
shelving system,7,Shelving unit,0.9050
sink protector,7,Sink,0.6726
cap,7,Hats,0.5934
shower curtain rod,7,Shower curtain rod,1.0000
cooling rack,7,Rack,0.7192
cookie cutter,7,Cookies,0.6855
pillow encasement,7,Pillow,0.7543
cookie jar,7,Cookies,0.7219
carpet washer,7,Carpet,0.7407
shakers,7,Shaker,0.9072
brewer,7,Coffee maker,0.6310
screen,7,Screen,1.0000
muffin cups,7,Cups,0.7075
sponge holder,7,Sponge,0.7575
canisters,7,Canisters,1.0000
canister set,7,Canister set,1.0000
bar stools,7,Bar stools,1.0000
funnel,7,Jug,0.5406
towel warmer,7,Towel,0.7785
frother,7,Freezer,0.5151
wash bag,7,Bag,0.6760
baking cup,7,Cup,0.6480
egg poacher,7,Eggs,0.6318
bath set,7,Bath,0.7426
stockpot,6,Stocking,0.6478
storage bin,6,Storage bin,1.0000
soap,6,Soap,1.0000
bottle stopper,6,Bottle,0.6836
dish cloths,6,Dishcloth,0.8435
tart pan,6,Pan,0.7381
wine cooler,6,Wine cooler,1.0000
aerator,6,Decanter,0.4299
cloth,6,Cloth,1.0000
robot,6,Toy,0.5162
hot pot,6,Pot,0.7978
cutlery tray,6,Cutlery holder,0.7612
cruet,6,Croissant,0.6346
multi cooker,6,Cooker,0.7940
bed sheets,6,Bedding,0.7203
quilt,6,Quilt,1.0000
garment bag,6,Bag,0.7115
chairs,6,Chairs,1.0000
hangers,6,Hanger,0.9379
tissue box,6,Tissue box,1.0000
tool,6,Tool set,0.6872
donut pan,6,Pan,0.7056
fondue pot,6,Decorative pot,0.6489
cookbook stand,6,Cookbook,0.7641
canvas print,6,Drawing paper,0.6099
shopping bag,6,Bag,0.7960
coffee urn,6,Coffee pot,0.6689
pans,6,Pans,1.0000
pan set,6,Pans,0.8361
coffee pot,6,Coffee pot,1.0000
fork,6,Fork,1.0000
vacuum cleaner bags,6,Vacuum cleaner,0.7538
wash cloth,6,Washcloth,0.8776
egg cooker,6,Cooker,0.8239
glove,6,Glove,1.0000
bake cups,5,Cups,0.7072
bake pan,5,Pan,0.7738
baker,5,Bread,0.5262
plate cover,5,Plate,0.7804
end table,5,End table,1.0000
shoe rack,5,Shoe rack,1.0000
filter papers,5,Papers,0.6004
flask,5,Water bottle,0.4453
can opener,5,Cans,0.5355
neck pillow,5,Pillow,0.8250
sheet,5,Sheet,1.0000
squeeze bottle,5,Bottle,0.6921
coffee grinder,5,Coffee grinder,1.0000
shopping cart,5,Shopping cart,1.0000
mylar bags,5,Bag,0.6582
contact paper,5,Paper,0.7268
separator,5,Carriage,0.4682
shaker set,5,Shaker,0.7398
speaker stand,5,Music stand,0.7266
soap holder,5,Soap dispenser,0.7667
cupcake box,5,Box,0.6836
mattress encasement,5,Mattress,0.6780
book,5,Book,1.0000
storage bins,5,Storage bins,1.0000
dining table,5,Dining table,1.0000
table and chair set,5,Chairs,0.6901
knife block,5,Knife block,1.0000
dough blender,5,Blender,0.5942
ice cube trays,5,Tray,0.6383
ice ball maker,5,Ice bucket,0.6599
bottle stoppers,5,Bottles,0.7231
spoons,5,Spoons,1.0000
tension rod,5,Rope,0.6100
bean bag chair,5,Bean bag chair,1.0000
tissue holder,5,Tissue holder,1.0000
tissue box cover,5,Tissue box,0.8403
drainer,5,Drain,0.8738
stove,5,Stove,1.0000
dish pan,5,Pan,0.8158
grinder,5,Coffee grinder,0.8878
garlic press,5,Spoon,0.4833
placemat,5,Placemats,0.9479
pot holders,5,Pots,0.7291
bag holder,5,Bag,0.7620
pizza tray,5,Tray,0.8015
pie dish,5,Dish,0.8063
ice pop maker,5,Freezer,0.5730
drawer unit,5,Drawer,0.8730
dishrack,5,Dishrack,1.0000
pillow covers,4,Pillows,0.8074
conditioner,4,Conditioner,1.0000
cooler,4,Wine cooler,0.5861
scissors,4,Cutting board,0.5747
bread maker,4,Bread,0.8318
spoon rest,4,Spoon,0.8450
corer,4,Saucer,0.4863
futon frame,4,Frame,0.6811
canner,4,Candelabra,0.5378
towel bar,4,Towel bar,1.0000
furniture,4,Furniture,1.0000
fry basket,4,Basket,0.7604
vanity,4,Vanity,1.0000
toothbrush stand,4,Toothbrush holder,0.8477
wall art,4,Wall art,1.0000
laundry cart,4,Laundry basket,0.8364
curtain rod,4,Shower curtain rod,0.8974
ice ball mold,4,Ice bucket,0.5646
ice ball tray,4,Tray,0.6997
ladle,4,Utensil,0.4470
straws,4,Plastic straws,0.8392
table and chairs set,4,Dining chairs,0.7408
blade,4,Knife,0.8024
tea maker,4,Tea pot,0.7937
knives,4,Knives,1.0000
tapestry,4,Tapestry,1.0000
kooler,4,Shaker,0.5219
tea bag squeezer,4,Bag,0.5807
dish mat,4,Dish,0.7442
hose,4,Faucet,0.5520
ice pop molds,4,Ice bucket,0.4598
duvet cover set,4,Duvet,0.7300
recipe box,4,Box,0.5754
clock,4,Clock,1.0000
recipe book,4,Cookbook,0.7623
air mattress,4,Mattress,0.7437
yogurt maker,4,Coffee maker,0.5110
clip,4,Photograph,0.4472
coasters,4,Coaster,0.9225
protector,4,Block,0.4875
drain stopper,4,Drain,0.6964
pillow sham,4,Pillow,0.7832
hand blender,4,Blender,0.6748
tissue box holder,4,Tissue holder,0.8817
teapot warmer,4,Teapot,0.8197
storage unit,4,Storage unit,1.0000
hot plate,4,Plate,0.7977
magazine rack,4,Rack,0.7809
bowl cover,4,Bowl,0.7369
deep fryer,4,Frying pan,0.6169
dinnerware,4,Kitchenware,0.8590
lids,4,Plastic lid,0.7336
k cup,4,Cup,0.7651
straw,4,Plastic straws,0.7466
crockpot,4,Crockery,0.8329
medicine cabinet,4,Cabinet,0.7262
book rack,4,Rack,0.7878
cupcake pan,4,Pan,0.7842
mirror,4,Mirror,1.0000
broiler pan,4,Pan,0.7173
buffet server,4,Buffet,0.8518
paper,4,Paper,1.0000
box spring,4,Box,0.5996
spiralizer,4,Guitar,0.4319
paper holder,4,Paper holder,1.0000
attachment,4,Towel holder,0.4473
shower hooks,4,Wall hooks,0.6996
shelf dividers,4,Shelves,0.7147
cookie sheet,4,Cookies,0.7626
canning jar,4,Jars,0.7621
shower ring,4,Shower,0.7064
wine aerator,4,Wine,0.6505
food covers,4,Food items,0.6045
food steamer,4,Cooker,0.6082
water filter,4,Water heater,0.5462
spice organizer,4,Spice rack,0.7038
mug warmer,4,Mug,0.7954
sink strainer,4,Strainer,0.7942
bean bag,4,Bean bag,1.0000
mattress bag,3,Mattress,0.7220
mats,3,Mat,0.8268
storage bench,3,Storage unit,0.6658
curtain,3,Curtain,1.0000
stirrer,3,Stir sticks,0.6265
sponge,3,Sponge,1.0000
cutting mat,3,Mat,0.6789
microwave cover,3,Microwave,0.7625
measuring spoons,3,Spoons,0.7480
spice bottle,3,Spice jar,0.7947
credenza,3,Crib,0.4633
media cabinet,3,Cabinet,0.7103
butter pot,3,Pot,0.6918
burner covers,3,Gas burner,0.5619
sink saddle,3,Saddle,0.7557
mortar and pestle,3,Brick wall,0.4596
panini pan,3,Pan,0.8668
sharpening steel,3,Chopping knife,0.5329
coffee pod,3,Coffee machine,0.7803
carboy,3,Car toy,0.5271
night stand,3,Stand,0.6289
pie pans,3,Pans,0.8127
cooler bag,3,Bag,0.7704
pillow insert,3,Pillow,0.7951
steam mop,3,Mop bucket,0.6861
squeegee,3,Waterfall,0.3782
roaster,3,Cooker,0.6490
saucepot,3,Saucer,0.7385
steamer basket,3,Basket,0.6645
banneton,3,Banister,0.5051
baking sheet,3,Sheet,0.6267
valet,3,Cart,0.4473
waste can,3,Trash can,0.7927
pastry cloth,3,Pastry,0.7981
pastry blender,3,Pastry,0.8123
footstool,3,Footstool,1.0000
tote bags,3,Bag,0.6357
glass set,3,Glass,0.7822
wine bottle opener,3,Wine bottle,0.7060
gloves,3,Glove,0.8706
topper,3,Granite top,0.4422
tortilla warmer,3,Blanket,0.4271
trays,3,Tray,0.8972
trivet,3,Duvet,0.6121
tumblers,3,Mugs,0.5944
basket unit,3,Basket,0.7988
egg cup set,3,Eggs,0.6696
water filters,3,Water glasses,0.5582
floor cleaner,3,Vacuum cleaner,0.7271
food saver,3,Freezer,0.5489
air purifying bag,3,Bag,0.4920
water filtration system,3,Water dispenser,0.4325
baking set,3,Ovens,0.5755
baking mats,3,Mat,0.6014
food cover,3,Food container,0.6483
wash bags,3,Washcloths,0.6273
cake pan set,3,Pans,0.7014
canopy,3,Canopy,1.0000
sink liner,3,Sink,0.7348
shoe bags,3,Shoes,0.7662
shoe organizer,3,Shoe rack,0.7248
shoe box,3,Box,0.7093
cooking bags,3,Bag,0.6012
pasta pot,3,Pot,0.7293
encasement,3,Bookcase,0.5806
tablecloth protector,3,Tablecloth,0.8423
suction cups,3,Cups,0.6142
beverage bottle,3,Glass bottle,0.8476
blades,3,Knives,0.7072
kit,3,Bag,0.5259
labels,3,Maps,0.4566
swab,3,Drain,0.4434
storage system,3,Storage unit,0.8449
kitchen island,3,Kitchen island,1.0000
bin,3,Bin,1.0000
strips,3,Striped cloth,0.5358
bedding set,3,Bedding,0.8008
bedding encasement,3,Bedding,0.7772
board,3,Board,1.0000
dining chairs,3,Dining chairs,1.0000
mason jars,3,Jars,0.8308
diffuser,3,Dryer,0.5372
bowl brush,3,Bowl,0.6388
martini glass,3,Beverage glass,0.7898
markers,3,Colored pencils,0.5128
magnetic bar,3,Bar,0.6236
spray bottle,3,Bottle,0.7294
storage rack,3,Rack,0.7668
lunch jar,3,Jar,0.7233
laundry bags,3,Laundry basket,0.7501
ice cubes,3,Ice bucket,0.6491
disc,3,Cd player,0.6644
decanter set,3,Decanter,0.7974
decorating bag,3,Bag,0.6309
lifter,3,Shaker,0.5390
toilet tissue holder,3,Toilet paper holder,0.8835
chopping mats,3,Chopping board,0.6941
pourer,3,Shaker,0.4873
rocker,3,Rock,0.7412
hall tree,3,Tree,0.7326
ice mold,3,Ice bucket,0.5494
drying mat,3,Towel mat,0.6699
iced tea maker,3,Tea pot,0.6555
honey pot,3,Tea pot,0.6648
toilet bowl brush,3,Toilet,0.6113
beater blade,3,Knife,0.5504
teacup,3,Teacups,0.9085
double boiler,3,Stove,0.4607
drain cover,3,Drain,0.7028
drain protector,3,Drain,0.6677
roasting pan,3,Frying pan,0.6993
produce bag,3,Bag,0.6824
pizza screen,3,Screen,0.6159
clips,3,Frames,0.4824
pillowcases,3,Pillows,0.8072
chopsticks,3,Stir sticks,0.7203
popper,3,Pepper shaker,0.4354
plate rack,3,Dish rack,0.7835
plant stand,3,Plant stand,1.0000
placemats,3,Placemats,1.0000
workstation,3,Computer,0.6799
wine stopper,3,Wine,0.7002
whisk,2,Wicker basket,0.4444
whiskey stones,2,Stone wall,0.5868
art print,2,Artwork,0.8145
wardrobe,2,Wardrobe,1.0000
warming tray,2,Tray,0.7256
bakeware set,2,Cookware,0.6630
bag sealer,2,Bag,0.6802
baguette pan,2,Pan,0.6299
dining chair,2,Dining chair,1.0000
deodorizer,2,Decanter,0.4522
decorating bags,2,Decor,0.5658
maker,2,Coffee maker,0.6571
wrap,2,Cloth,0.5702
wine glass charms,2,Wine glass,0.7673
wine bottle holder,2,Wine bottle,0.8354
whip,2,Rope,0.5536
loft bed,2,Loft bed,1.0000
lotion dispenser,2,Lotion bottle,0.7555
lotion pump,2,Lotion,0.7476
lazy susan,2,Floral chair,0.4746
lid lifter,2,Plastic lid,0.5705
lamp,2,Lamp,1.0000
lasagna pan,2,Pan,0.6829
dinnerware set,2,Kitchenware,0.7522
cutting boards,2,Cutting board,0.9466
cushion cover,2,Cushion,0.8154
custard cups,2,Cups,0.7048
cupcake liners,2,Cups,0.5411
cupcake molds,2,Cups,0.5386
cupcake stand,2,Cake stand,0.7573
microwave cooker,2,Microwave,0.7824
loaf dish,2,Bread,0.7551
towel shelf,2,Towel rack,0.8513
towel stand,2,Towel holder,0.8220
towel grabber,2,Towel,0.8408
toothbrush sanitizer,2,Toothbrush,0.8012
tortilla pan,2,Pan,0.7236
treads,2,Treadmill,0.5725
tofu press,2,Coffee machine,0.3785
battery,2,Laptop,0.5190
washer,2,Washer,1.0000
travel mug,2,Mug,0.8055
bar spoon,2,Spoon,0.7674
barometer,2,Bar counter,0.5700
baking stone,2,Stone wall,0.6289
bar,2,Bar,1.0000
bar set,2,Bar,0.7729
wall decor,2,Wall decor,1.0000
folding chair,2,Chair,0.7263
valve,2,Shower valve,0.6678
vaporizer,2,Vacuum cleaner,0.5294
vacuum sealer bags,2,Vacuum cleaner,0.5050
vacuum sealer rolls,2,Roll toilet paper,0.5134
wax paper,2,Paper,0.7322
waste bin,2,Waste bin,1.0000
washcloth,2,Washcloth,1.0000
bake set,2,Oven,0.5757
wreath holder,2,Wreath,0.8951
wrap box,2,Decorative box,0.6868
apple corer,2,Apple,0.5937
air filter,2,Air conditioner,0.5809
air pot,2,Pot,0.7592
air purifying bags,2,Bag,0.4309
food grinder,2,Coffee grinder,0.8287
spice grinder,2,Coffee grinder,0.7918
spice jar,2,Spice jar,1.0000
sofa bed,2,Sofa,0.8728
stickers,2,Stickers,1.0000
steak knife set,2,Knives,0.6687
steak set,2,Chess set,0.5367
steam case,2,Display case,0.6097
squeeze bottles,2,Bottles,0.7355
bracket,2,Card,0.4332
bowl covers,2,Bowls,0.7420
box foundation,2,Boxes,0.6060
bottle tote,2,Bottle,0.6839
storage drawer,2,Storage drawer,1.0000
storage jar,2,Storage container,0.7219
spice tower,2,Spice rack,0.6230
spiral slicer,2,Toaster,0.5308
food storage system,2,Food container,0.7047
food strainer,2,Strainer,0.8976
faucet cap,2,Faucet,0.7642
entertainment center,2,Entertainment center,1.0000
emulsifier,2,Vacuum cleaner,0.4303
sprayer,2,Washer,0.5728
springform pan,2,Pan,0.5358
boxspring cover,2,Decorative box,0.5583
table covers,2,Tablecloth,0.6770
storage cart,2,Storage cart,1.0000
stoppers,2,Slippers,0.5010
bottle set,2,Bottles,0.7839
bottle cap catcher,2,Bottles,0.6328
blender jar,2,Jar,0.7881
body pillow,2,Pillow,0.8640
freezer bowl,2,Bowl,0.7196
canvas art,2,Artwork,0.7355
can,2,Cans,0.5016
can tracker,2,Trash can,0.3794
cake pan strips,2,Pans,0.5684
case,2,Display case,0.6151
casserole pan,2,Pan,0.7444
carrier,2,Phone,0.4895
card covers,2,Cards,0.6696
shovel,2,Knife,0.5789
shower curtain hook,2,Shower curtain rod,0.8256
soda maker,2,Coffee maker,0.6498
sink rack,2,Sink,0.7430
shelving rack,2,Shelving,0.8785
shoe bag,2,Shoes,0.7632
shelf liners,2,Shelves,0.6742
shelf organizer,2,Shelf,0.7822
goblet,2,Sconce,0.3603
gaskets,2,Gas burner,0.5527
gaming chair,2,Chair,0.7579
garment rack,2,Rack,0.7642
hook rack,2,Hanging rack,0.8369
hand mixer,2,Mixer,0.8607
handle,2,Basket with handle,0.6786
sink center,2,Sink,0.7551
sink skirt,2,Sink,0.6542
burner,2,Gas burner,0.8241
butter keeper,2,Pastry,0.4233
brushes,2,Toothbrush,0.7191
brewing system,2,Coffee maker,0.6182
grater disc,2,Cd player,0.4439
gravy boat,2,Boat,0.6694
griddle pan,2,Pan,0.7280
saucier pan,2,Pan,0.6932
sauce pot,2,Pot,0.7331
salad spinner,2,Pepper shaker,0.5522
rod,2,Fishing rod,0.7444
rings,2,Towel ring,0.5761
recycler,2,Recycling bin,0.6800
chopstick,2,Stir sticks,0.6914
popcorn maker,2,Corn,0.5966
serving tray,2,Tray,0.7749
set,2,Train set,0.6590
screen guard,2,Screen,0.6224
scrubber,2,Scrub brush,0.5987
clamps,2,Knife holder,0.4397
cheese knife set,2,Knives,0.6640
cheesecloth,2,Dishcloth,0.8349
chafing dish,2,Dish,0.7042
dust bags,2,Bag,0.6544
dryer,2,Dryer,1.0000
drawer dividers,2,Drawer,0.6604
drawer liner,2,Drawer,0.7635
shears,2,Slippers,0.5153
sealer,2,Freezer,0.5331
seed sprouter,2,Vegetable,0.4425
server,2,Computer,0.4843
cards,2,Cards,1.0000
capper,2,Shaker,0.5603
cappuccino cup,2,Cup,0.6611
caps,2,Hats,0.6153
shoe bench,2,Bench,0.7530
shoe shelf,2,Shoe rack,0.8108
gripper,2,Glove,0.5252
duffle bag,2,Bag,0.7520
